Date,Adj Close
2021-05-10,45.75
2021-05-11,43.0
2021-05-12,40.25
2021-05-13,41.0
2021-05-14,40.5
2021-05-17,41.5
2021-05-18,43.0
2021-05-19,42.75
2021-05-20,42.5
2021-05-21,41.75
2021-05-24,41.5
2021-05-25,42.5
2021-05-27,42.75
2021-05-28,42.25
2021-05-31,43.0
2021-06-01,43.75
2021-06-02,43.5
2021-06-04,42.5
2021-06-07,41.75
2021-06-08,41.75
2021-06-09,43.5
2021-06-10,43.75
2021-06-11,45.5
2021-06-14,45.0
2021-06-15,43.75
2021-06-16,44.25
2021-06-17,43.75
2021-06-18,43.5
2021-06-21,42.75
2021-06-22,42.5
2021-06-23,42.0
2021-06-24,41.25
2021-06-25,41.25
2021-06-28,41.25
2021-06-29,41.75
2021-06-30,41.5
2021-07-01,41.75
2021-07-02,40.5
2021-07-05,40.5
2021-07-06,41.25
2021-07-07,40.75
2021-07-08,39.0
2021-07-09,39.25
2021-07-12,38.25
2021-07-13,39.25
2021-07-14,41.0
2021-07-15,40.5
2021-07-16,41.75
2021-07-19,41.0
2021-07-20,40.5
2021-07-21,40.25
2021-07-22,40.25
2021-07-23,40.0
2021-07-27,39.5
2021-07-29,39.5
2021-07-30,39.0
2021-08-02,39.0
2021-08-03,39.5
2021-08-04,40.5
2021-08-05,40.25
2021-08-06,39.0
2021-08-09,39.0
2021-08-10,38.5
2021-08-11,37.0
2021-08-13,36.5
2021-08-16,37.0
2021-08-17,36.75
2021-08-18,38.0
2021-08-19,37.75
2021-08-20,38.0
2021-08-23,38.5
2021-08-24,38.5
2021-08-25,38.5
2021-08-26,37.75
2021-08-27,38.5
2021-08-30,40.0
2021-08-31,40.0
2021-09-01,40.25
2021-09-02,39.75
2021-09-03,39.0
2021-09-06,38.25
2021-09-07,38.25
2021-09-08,37.75
2021-09-09,37.5
2021-09-10,38.25
2021-09-13,38.0
2021-09-14,38.5
2021-09-15,38.75
2021-09-16,39.25
2021-09-17,38.25
2021-09-20,37.75
2021-09-21,38.25
2021-09-22,37.5
2021-09-23,36.25
2021-09-27,35.0
2021-09-28,35.5
2021-09-29,34.25
2021-09-30,33.5
2021-10-01,34.75
2021-10-04,34.75
2021-10-05,34.5
2021-10-06,34.5
2021-10-07,35.0
2021-10-08,34.5
2021-10-11,34.75
2021-10-12,35.25
2021-10-14,35.25
2021-10-15,35.5
2021-10-18,36.0
2021-10-19,36.0
2021-10-20,36.0
2021-10-21,36.0
2021-10-25,36.0
2021-10-26,35.25
2021-10-27,35.25
2021-10-28,34.5
2021-10-29,35.25
2021-11-01,35.0
2021-11-02,35.75
2021-11-03,36.75
2021-11-04,37.0
2021-11-05,36.75
2021-11-08,36.5
2021-11-09,37.0
2021-11-10,35.75
2021-11-11,36.0
2021-11-12,36.75
2021-11-15,36.75
2021-11-16,36.75
2021-11-17,38.25
2021-11-18,38.25
2021-11-19,38.0
2021-11-22,39.0
2021-11-23,38.25
2021-11-24,38.0
2021-11-25,37.75
2021-11-26,36.75
2021-11-29,36.0
2021-11-30,36.0
2021-12-01,36.0
2021-12-02,36.25
2021-12-03,36.25
