Date,&,J.BK,S
2018-01-03 00:00:00,,2.167898654937744,
2018-01-04 00:00:00,,2.129528760910034,
2018-01-05 00:00:00,,2.033604383468628,
2018-01-08 00:00:00,,2.071974039077759,
2018-01-09 00:00:00,,2.071974039077759,
2018-01-10 00:00:00,,2.071974039077759,
2018-01-11 00:00:00,,2.071974039077759,
2018-01-12 00:00:00,,2.071974039077759,
2018-01-15 00:00:00,,2.071974039077759,
2018-01-16 00:00:00,,2.129528760910034,
2018-01-17 00:00:00,,2.167898654937744,
2018-01-18 00:00:00,,2.206268548965454,
2018-01-19 00:00:00,,2.206268548965454,
2018-01-22 00:00:00,,2.1487138271331787,
2018-01-23 00:00:00,,2.1870837211608887,
2018-01-24 00:00:00,,2.167898654937744,
2018-01-25 00:00:00,,2.167898654937744,
2018-01-26 00:00:00,,2.1870837211608887,
2018-01-29 00:00:00,,2.1870837211608887,
2018-01-30 00:00:00,,2.167898654937744,
2018-01-31 00:00:00,,2.167898654937744,
2018-02-01 00:00:00,,2.1487138271331787,
2018-02-02 00:00:00,,2.167898654937744,
2018-02-05 00:00:00,,2.1487138271331787,
2018-02-06 00:00:00,,2.1487138271331787,
2018-02-07 00:00:00,,2.1487138271331787,
2018-02-08 00:00:00,,2.1487138271331787,
2018-02-09 00:00:00,,2.1487138271331787,
2018-02-12 00:00:00,,2.1103439331054688,
2018-02-13 00:00:00,,2.129528760910034,
2018-02-14 00:00:00,,2.1487138271331787,
2018-02-15 00:00:00,,2.1487138271331787,
2018-02-16 00:00:00,,2.167898654937744,
2018-02-19 00:00:00,,2.167898654937744,
2018-02-20 00:00:00,,2.167898654937744,
2018-02-21 00:00:00,,2.167898654937744,
2018-02-22 00:00:00,,2.1103439331054688,
2018-02-23 00:00:00,,2.129528760910034,
2018-02-26 00:00:00,,2.129528760910034,
2018-02-27 00:00:00,,2.129528760910034,
2018-02-28 00:00:00,,2.129528760910034,
2018-03-02 00:00:00,,2.1103439331054688,
2018-03-05 00:00:00,,2.129528760910034,
2018-03-06 00:00:00,,2.1103439331054688,
2018-03-07 00:00:00,,2.1103439331054688,
2018-03-08 00:00:00,,2.071974039077759,
2018-03-09 00:00:00,,2.033604383468628,
2018-03-12 00:00:00,,2.0144193172454834,
2018-03-13 00:00:00,,2.033604383468628,
2018-03-14 00:00:00,,2.0527892112731934,
2018-03-15 00:00:00,,2.0527892112731934,
2018-03-16 00:00:00,,2.0527892112731934,
2018-03-19 00:00:00,,2.0144193172454834,
2018-03-20 00:00:00,,2.033604383468628,
2018-03-21 00:00:00,,2.0527892112731934,
2018-03-22 00:00:00,,1.976049542427063,
2018-03-23 00:00:00,,1.9568647146224976,
2018-03-26 00:00:00,,1.976049542427063,
2018-03-27 00:00:00,,1.9568647146224976,
2018-03-28 00:00:00,,1.9376797676086426,
2018-03-29 00:00:00,,1.7937918901443481,
2018-03-30 00:00:00,,1.7362372875213623,
2018-04-02 00:00:00,,1.7362372875213623,
2018-04-03 00:00:00,,1.7362372875213623,
2018-04-04 00:00:00,,1.707459807395935,
2018-04-05 00:00:00,,1.7170523405075073,
2018-04-09 00:00:00,,1.7170523405075073,
2018-04-10 00:00:00,,1.7170523405075073,
2018-04-11 00:00:00,,1.72664475440979,
2018-04-12 00:00:00,,1.72664475440979,
2018-04-17 00:00:00,,1.7170523405075073,
2018-04-18 00:00:00,,1.7170523405075073,
2018-04-19 00:00:00,,1.7170523405075073,
2018-04-20 00:00:00,,1.72664475440979,
2018-04-23 00:00:00,,1.72664475440979,
2018-04-24 00:00:00,,1.7170523405075073,
2018-04-25 00:00:00,,1.707459807395935,
2018-04-26 00:00:00,,1.72664475440979,
2018-04-27 00:00:00,,1.72664475440979,
2018-04-30 00:00:00,,1.707459807395935,
2018-05-02 00:00:00,,1.707459807395935,
2018-05-03 00:00:00,,1.707459807395935,
2018-05-04 00:00:00,,1.6978673934936523,
2018-05-07 00:00:00,,1.707459807395935,
2018-05-08 00:00:00,,1.68827486038208,
2018-05-09 00:00:00,,1.6786824464797974,
2018-05-10 00:00:00,,1.6499052047729492,
2018-05-11 00:00:00,,1.659497618675232,
2018-05-14 00:00:00,,1.6115353107452393,
2018-05-15 00:00:00,,1.601942777633667,
2018-05-16 00:00:00,,1.5923503637313843,
2018-05-17 00:00:00,,1.5443881750106812,
2018-05-18 00:00:00,,1.5347956418991089,
2018-05-21 00:00:00,,1.5347956418991089,
2018-05-22 00:00:00,,1.5252032279968262,
2018-05-23 00:00:00,,1.5347956418991089,
2018-05-24 00:00:00,,1.5347956418991089,
2018-05-25 00:00:00,,1.5347956418991089,
2018-05-28 00:00:00,,1.5539805889129639,
2018-05-30 00:00:00,,1.5539805889129639,
2018-05-31 00:00:00,,1.5539805889129639,
2018-06-01 00:00:00,,1.5923503637313843,
2018-06-04 00:00:00,,1.621127724647522,
2018-06-05 00:00:00,,1.6115353107452393,
2018-06-06 00:00:00,,1.6115353107452393,
2018-06-07 00:00:00,,1.6115353107452393,
2018-06-08 00:00:00,,1.6115353107452393,
2018-06-11 00:00:00,,1.6115353107452393,
2018-06-12 00:00:00,,1.6115353107452393,
2018-06-13 00:00:00,,1.601942777633667,
2018-06-14 00:00:00,,1.6115353107452393,
